task_id	name	status	exit	realtime	peak_vmem	peak_rss	memory	submit	complete
87	run_analysis_subworkflow_calibration_check:run_association_analysis (28)	COMPLETED	0	11m 16s	1.6 GB	897.5 MB	4 GB	2024-04-24 13:57:59.901	2024-04-24 14:09:17.792
93	run_analysis_subworkflow_calibration_check:combine_association_analysis	COMPLETED	0	20.3s	1.2 GB	544.3 MB	4 GB	2024-04-24 14:09:20.485	2024-04-24 14:09:47.792
94	run_analysis_subworkflow_power_check:run_association_analysis (1)	COMPLETED	0	1m 14s	2.2 GB	1.5 GB	4 GB	2024-04-24 14:09:50.685	2024-04-24 14:11:07.794
96	run_analysis_subworkflow_power_check:combine_association_analysis	COMPLETED	0	12.1s	1.1 GB	375.9 MB	4 GB	2024-04-24 14:11:10.401	2024-04-24 14:11:27.797
99	run_analysis_subworkflow_discovery_analysis:run_association_analysis (2)	COMPLETED	0	3m 50s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:30.912	2024-04-24 14:15:27.801
101	run_analysis_subworkflow_discovery_analysis:run_association_analysis (4)	COMPLETED	0	3m 57s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:33.727	2024-04-24 14:15:32.801
100	run_analysis_subworkflow_discovery_analysis:run_association_analysis (3)	COMPLETED	0	3m 58s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:11:36.410	2024-04-24 14:15:37.800
126	run_analysis_subworkflow_discovery_analysis:run_association_analysis (29)	COMPLETED	0	2m 40s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:52.317	2024-04-24 14:15:37.931
127	run_analysis_subworkflow_discovery_analysis:run_association_analysis (30)	COMPLETED	0	2m 42s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:55.104	2024-04-24 14:15:42.826
128	run_analysis_subworkflow_discovery_analysis:run_association_analysis (31)	COMPLETED	0	2m 40s	2.3 GB	1.5 GB	4 GB	2024-04-24 14:12:57.980	2024-04-24 14:15:42.858
