task_id	name	status	exit	realtime	peak_rss	submit	start	complete
71	run_discovery_analysis_trans (13)	COMPLETED	0	3h 16m 4s	1.5 GB	2024-04-25 01:58:42.457	2024-04-25 01:58:44.337	2024-04-25 05:14:49.809
64	run_discovery_analysis_trans (6)	COMPLETED	0	3h 16m 27s	1.5 GB	2024-04-25 02:00:59.335	2024-04-25 02:01:04.976	2024-04-25 05:17:30.737
86	run_discovery_analysis_trans (28)	COMPLETED	0	3h 14m 43s	1.6 GB	2024-04-25 02:03:16.867	2024-04-25 02:03:20.737	2024-04-25 05:18:10.944
66	run_discovery_analysis_trans (8)	COMPLETED	0	3h 19m 52s	1.6 GB	2024-04-25 02:01:33.736	2024-04-25 02:01:36.634	2024-04-25 05:21:31.361
60	run_discovery_analysis_trans (2)	COMPLETED	0	3h 18m 34s	1.6 GB	2024-04-25 02:04:25.773	2024-04-25 02:04:28.439	2024-04-25 05:23:02.000
76	run_discovery_analysis_trans (18)	COMPLETED	0	3h 18m 12s	1.5 GB	2024-04-25 02:05:34.028	2024-04-25 02:05:35.844	2024-04-25 05:23:52.501
88	run_discovery_analysis_trans (30)	COMPLETED	0	3h 20m 15s	1.6 GB	2024-04-25 02:03:51.351	2024-04-25 02:03:57.288	2024-04-25 05:24:08.120
67	run_discovery_analysis_trans (9)	COMPLETED	0	3h 18m 29s	1.6 GB	2024-04-25 02:06:08.243	2024-04-25 02:06:12.202	2024-04-25 05:24:44.119
80	run_discovery_analysis_trans (22)	COMPLETED	0	3h 18m 5s	1.6 GB	2024-04-25 02:08:23.953	2024-04-25 02:08:28.252	2024-04-25 05:26:35.020
84	run_discovery_analysis_trans (26)	COMPLETED	0	3h 20m 46s	1.6 GB	2024-04-25 02:06:42.326	2024-04-25 02:06:48.767	2024-04-25 05:27:35.398
68	run_discovery_analysis_trans (10)	COMPLETED	0	3h 17m 57s	1.5 GB	2024-04-25 02:09:31.872	2024-04-25 02:09:35.815	2024-04-25 05:27:45.921
65	run_discovery_analysis_trans (7)	COMPLETED	0	3h 19m 39s	1.5 GB	2024-04-25 02:08:57.907	2024-04-25 02:09:04.436	2024-04-25 05:28:46.997
79	run_discovery_analysis_trans (21)	COMPLETED	0	3h 21m 43s	1.6 GB	2024-04-25 02:07:50.008	2024-04-25 02:07:56.630	2024-04-25 05:29:37.066
61	run_discovery_analysis_trans (3)	COMPLETED	0	3h 19m 47s	1.5 GB	2024-04-25 02:10:39.725	2024-04-25 02:10:43.525	2024-04-25 05:30:32.724
75	run_discovery_analysis_trans (17)	COMPLETED	0	3h 24m	1.5 GB	2024-04-25 02:07:16.105	2024-04-25 02:07:19.974	2024-04-25 05:31:23.204
82	run_discovery_analysis_trans (24)	COMPLETED	0	3h 26m 26s	1.6 GB	2024-04-25 02:04:59.846	2024-04-25 02:05:04.621	2024-04-25 05:31:33.760
99	run_discovery_analysis_trans (41)	COMPLETED	0	3h 9m 49s	1.6 GB	2024-04-25 02:20:51.814	2024-04-25 02:25:06.354	2024-04-25 05:33:04.989
70	run_discovery_analysis_trans (12)	COMPLETED	0	3h 21m 13s	1.6 GB	2024-04-25 02:12:22.348	2024-04-25 02:12:27.341	2024-04-25 05:33:45.211
62	run_discovery_analysis_trans (4)	COMPLETED	0	3h 23m 47s	1.6 GB	2024-04-25 02:10:05.802	2024-04-25 02:10:12.134	2024-04-25 05:34:01.022
85	run_discovery_analysis_trans (27)	COMPLETED	0	3h 21m 31s	1.5 GB	2024-04-25 02:12:56.076	2024-04-25 02:12:58.757	2024-04-25 05:34:31.997
97	run_discovery_analysis_trans (39)	COMPLETED	0	3h 13m 5s	1.6 GB	2024-04-25 02:19:44.963	2024-04-25 02:24:43.656	2024-04-25 05:36:18.354
74	run_discovery_analysis_trans (16)	COMPLETED	0	3h 22m 23s	1.6 GB	2024-04-25 02:14:05.819	2024-04-25 02:14:11.570	2024-04-25 05:36:33.947
59	run_discovery_analysis_trans (1)	COMPLETED	0	3h 23m 12s	1.6 GB	2024-04-25 02:13:30.873	2024-04-25 02:13:35.271	2024-04-25 05:36:49.312
93	run_discovery_analysis_trans (35)	COMPLETED	0	3h 13m 49s	1.5 GB	2024-04-25 02:17:30.078	2024-04-25 02:23:58.433	2024-04-25 05:37:10.668
95	run_discovery_analysis_trans (37)	COMPLETED	0	3h 14m 22s	1.5 GB	2024-04-25 02:18:36.839	2024-04-25 02:24:20.957	2024-04-25 05:37:36.573
92	run_discovery_analysis_trans (34)	COMPLETED	0	3h 14m 45s	1.6 GB	2024-04-25 02:16:56.555	2024-04-25 02:23:47.327	2024-04-25 05:37:57.025
81	run_discovery_analysis_trans (23)	COMPLETED	0	3h 29m 38s	1.5 GB	2024-04-25 02:11:48.107	2024-04-25 02:11:50.991	2024-04-25 05:41:29.449
90	run_discovery_analysis_trans (32)	COMPLETED	0	3h 18m 54s	1.6 GB	2024-04-25 02:15:48.923	2024-04-25 02:23:25.333	2024-04-25 05:42:09.876
100	run_discovery_analysis_trans (42)	COMPLETED	0	3h 18m 50s	1.6 GB	2024-04-25 02:21:25.422	2024-04-25 02:25:17.807	2024-04-25 05:42:20.455
107	run_discovery_analysis_trans (49)	COMPLETED	0	3h 17m	1.6 GB	2024-04-25 02:25:31.018	2024-04-25 02:26:37.111	2024-04-25 05:42:36.048
94	run_discovery_analysis_trans (36)	COMPLETED	0	3h 19m 43s	1.6 GB	2024-04-25 02:18:03.629	2024-04-25 02:24:09.735	2024-04-25 05:42:56.791
104	run_discovery_analysis_trans (46)	COMPLETED	0	3h 19m 14s	1.5 GB	2024-04-25 02:23:41.580	2024-04-25 02:26:03.205	2024-04-25 05:43:06.859
113	run_discovery_analysis_trans (55)	COMPLETED	0	3h 13m 55s	1.5 GB	2024-04-25 02:29:05.463	2024-04-25 02:29:09.357	2024-04-25 05:43:17.203
122	run_discovery_analysis_trans (64)	COMPLETED	0	3h 8m 50s	1.6 GB	2024-04-25 02:34:15.142	2024-04-25 02:34:21.223	2024-04-25 05:43:27.661
101	run_discovery_analysis_trans (43)	COMPLETED	0	3h 20m 9s	1.6 GB	2024-04-25 02:21:58.870	2024-04-25 02:25:29.269	2024-04-25 05:43:38.250
103	run_discovery_analysis_trans (45)	COMPLETED	0	3h 20m 6s	1.6 GB	2024-04-25 02:23:05.718	2024-04-25 02:25:51.857	2024-04-25 05:43:48.404
106	run_discovery_analysis_trans (48)	COMPLETED	0	3h 19m 4s	1.6 GB	2024-04-25 02:24:54.344	2024-04-25 02:26:25.646	2024-04-25 05:44:09.205
96	run_discovery_analysis_trans (38)	COMPLETED	0	3h 21m 11s	1.6 GB	2024-04-25 02:19:10.970	2024-04-25 02:24:32.295	2024-04-25 05:44:29.812
98	run_discovery_analysis_trans (40)	COMPLETED	0	3h 22m 19s	1.6 GB	2024-04-25 02:20:18.346	2024-04-25 02:24:54.904	2024-04-25 05:45:37.276
109	run_discovery_analysis_trans (51)	COMPLETED	0	3h 19m 28s	1.6 GB	2024-04-25 02:26:45.336	2024-04-25 02:26:59.524	2024-04-25 05:46:18.762
91	run_discovery_analysis_trans (33)	COMPLETED	0	3h 23m 31s	1.5 GB	2024-04-25 02:16:22.863	2024-04-25 02:23:36.444	2024-04-25 05:46:44.832
119	run_discovery_analysis_trans (61)	COMPLETED	0	3h 14m 7s	1.6 GB	2024-04-25 02:32:33.505	2024-04-25 02:32:57.641	2024-04-25 05:47:11.127
102	run_discovery_analysis_trans (44)	COMPLETED	0	3h 24m 20s	1.6 GB	2024-04-25 02:22:31.973	2024-04-25 02:25:40.525	2024-04-25 05:47:31.811
105	run_discovery_analysis_trans (47)	COMPLETED	0	3h 23m 35s	1.6 GB	2024-04-25 02:24:18.152	2024-04-25 02:26:14.356	2024-04-25 05:47:58.602
111	run_discovery_analysis_trans (53)	COMPLETED	0	3h 20m 7s	1.6 GB	2024-04-25 02:27:55.578	2024-04-25 02:28:02.006	2024-04-25 05:48:08.685
87	run_discovery_analysis_trans (29)	COMPLETED	0	3h 33m 29s	1.6 GB	2024-04-25 02:14:40.730	2024-04-25 02:14:47.805	2024-04-25 05:48:19.316
120	run_discovery_analysis_trans (62)	COMPLETED	0	3h 15m 17s	1.6 GB	2024-04-25 02:33:07.075	2024-04-25 02:33:13.746	2024-04-25 05:48:29.621
89	run_discovery_analysis_trans (31)	COMPLETED	0	3h 25m 30s	1.5 GB	2024-04-25 02:15:15.357	2024-04-25 02:23:14.153	2024-04-25 05:48:50.262
112	run_discovery_analysis_trans (54)	COMPLETED	0	3h 20m 19s	1.5 GB	2024-04-25 02:28:30.732	2024-04-25 02:28:38.140	2024-04-25 05:49:00.534
110	run_discovery_analysis_trans (52)	COMPLETED	0	3h 21m 44s	1.5 GB	2024-04-25 02:27:20.854	2024-04-25 02:27:25.708	2024-04-25 05:49:21.128
121	run_discovery_analysis_trans (63)	COMPLETED	0	3h 15m 27s	1.6 GB	2024-04-25 02:33:41.403	2024-04-25 02:33:44.976	2024-04-25 05:49:31.425
124	run_discovery_analysis_trans (66)	COMPLETED	0	3h 13m 57s	1.6 GB	2024-04-25 02:35:25.103	2024-04-25 02:35:28.865	2024-04-25 05:49:41.612
108	run_discovery_analysis_trans (50)	COMPLETED	0	3h 23m 28s	1.5 GB	2024-04-25 02:26:08.366	2024-04-25 02:26:48.312	2024-04-25 05:50:02.524
116	run_discovery_analysis_trans (58)	COMPLETED	0	3h 18m 50s	1.6 GB	2024-04-25 02:30:49.453	2024-04-25 02:30:53.272	2024-04-25 05:50:12.802
125	run_discovery_analysis_trans (67)	COMPLETED	0	3h 14m 28s	1.6 GB	2024-04-25 02:36:00.254	2024-04-25 02:36:05.368	2024-04-25 05:50:33.346
126	run_discovery_analysis_trans (68)	COMPLETED	0	3h 14m 7s	1.5 GB	2024-04-25 02:36:34.932	2024-04-25 02:36:41.960	2024-04-25 05:50:54.141
63	run_discovery_analysis_trans (5)	COMPLETED	0	3h 40m 12s	1.6 GB	2024-04-25 02:11:13.663	2024-04-25 02:11:19.879	2024-04-25 05:51:29.920
114	run_discovery_analysis_trans (56)	COMPLETED	0	3h 21m 42s	1.5 GB	2024-04-25 02:29:40.091	2024-04-25 02:29:45.653	2024-04-25 05:51:40.156
127	run_discovery_analysis_trans (69)	COMPLETED	0	3h 15m 27s	1.5 GB	2024-04-25 02:37:10.032	2024-04-25 02:37:13.179	2024-04-25 05:52:47.026
115	run_discovery_analysis_trans (57)	COMPLETED	0	3h 22m 29s	1.6 GB	2024-04-25 02:30:14.590	2024-04-25 02:30:21.953	2024-04-25 05:52:57.623
123	run_discovery_analysis_trans (65)	COMPLETED	0	3h 17m 57s	1.5 GB	2024-04-25 02:34:50.246	2024-04-25 02:34:57.562	2024-04-25 05:53:07.773
118	run_discovery_analysis_trans (60)	COMPLETED	0	3h 22m 8s	1.6 GB	2024-04-25 02:31:59.072	2024-04-25 02:32:06.074	2024-04-25 05:54:14.298
117	run_discovery_analysis_trans (59)	COMPLETED	0	3h 23m 21s	1.6 GB	2024-04-25 02:31:24.340	2024-04-25 02:31:29.673	2024-04-25 05:54:55.641
130	run_discovery_analysis_trans (72)	COMPLETED	0	3h 19m 43s	1.5 GB	2024-04-25 02:38:53.207	2024-04-25 02:38:57.249	2024-04-25 05:58:45.504
131	run_discovery_analysis_trans (73)	COMPLETED	0	3h 19m 18s	1.5 GB	2024-04-25 02:39:27.231	2024-04-25 02:39:33.445	2024-04-25 05:58:55.946
129	run_discovery_analysis_trans (71)	COMPLETED	0	3h 20m 35s	1.6 GB	2024-04-25 02:38:18.867	2024-04-25 02:38:25.786	2024-04-25 05:59:06.310
300	run_discovery_analysis_trans (242)	COMPLETED	0	1h 49m 19s	1.6 GB	2024-04-25 04:10:43.209	2024-04-25 04:10:56.131	2024-04-25 06:00:12.622
137	run_discovery_analysis_trans (79)	COMPLETED	0	3h 18m 17s	1.5 GB	2024-04-25 02:42:51.950	2024-04-25 02:42:55.917	2024-04-25 06:01:14.371
139	run_discovery_analysis_trans (81)	COMPLETED	0	3h 18m 11s	1.6 GB	2024-04-25 02:43:59.692	2024-04-25 02:44:04.126	2024-04-25 06:02:16.090
144	run_discovery_analysis_trans (86)	COMPLETED	0	3h 15m 26s	1.5 GB	2024-04-25 02:46:50.427	2024-04-25 02:46:55.863	2024-04-25 06:02:26.598
142	run_discovery_analysis_trans (84)	COMPLETED	0	3h 17m 37s	1.6 GB	2024-04-25 02:45:41.678	2024-04-25 02:45:48.087	2024-04-25 06:03:23.643
133	run_discovery_analysis_trans (75)	COMPLETED	0	3h 23m 9s	1.5 GB	2024-04-25 02:40:35.096	2024-04-25 02:40:40.921	2024-04-25 06:03:50.223
132	run_discovery_analysis_trans (74)	COMPLETED	0	3h 23m 53s	1.5 GB	2024-04-25 02:40:01.225	2024-04-25 02:40:04.764	2024-04-25 06:04:00.523
303	run_discovery_analysis_trans (245)	COMPLETED	0	1h 52m 2s	1.6 GB	2024-04-25 04:12:18.775	2024-04-25 04:12:23.196	2024-04-25 06:04:26.401
134	run_discovery_analysis_trans (76)	COMPLETED	0	3h 23m 44s	1.5 GB	2024-04-25 02:41:09.182	2024-04-25 02:41:12.114	2024-04-25 06:04:57.110
302	run_discovery_analysis_trans (244)	COMPLETED	0	1h 53m 6s	1.5 GB	2024-04-25 04:11:47.161	2024-04-25 04:11:52.311	2024-04-25 06:05:07.288
299	run_discovery_analysis_trans (241)	COMPLETED	0	1h 54m 36s	1.5 GB	2024-04-25 04:10:13.070	2024-04-25 04:10:45.725	2024-04-25 06:05:28.190
136	run_discovery_analysis_trans (78)	COMPLETED	0	3h 23m 10s	1.5 GB	2024-04-25 02:42:18.072	2024-04-25 02:42:24.632	2024-04-25 06:05:38.529
128	run_discovery_analysis_trans (70)	COMPLETED	0	3h 28m 36s	1.5 GB	2024-04-25 02:37:44.484	2024-04-25 02:37:49.458	2024-04-25 06:06:29.789
140	run_discovery_analysis_trans (82)	COMPLETED	0	3h 22m 49s	1.6 GB	2024-04-25 02:44:33.740	2024-04-25 02:44:40.288	2024-04-25 06:07:31.657
148	run_discovery_analysis_trans (90)	COMPLETED	0	3h 18m 29s	1.6 GB	2024-04-25 02:49:06.484	2024-04-25 02:49:12.026	2024-04-25 06:07:42.019
155	run_discovery_analysis_trans (97)	COMPLETED	0	3h 10m 7s	1.6 GB	2024-04-25 02:53:03.816	2024-04-25 02:58:46.330	2024-04-25 06:07:52.228
304	run_discovery_analysis_trans (246)	COMPLETED	0	1h 55m 18s	1.6 GB	2024-04-25 04:12:49.836	2024-04-25 04:12:58.810	2024-04-25 06:08:13.499
141	run_discovery_analysis_trans (83)	COMPLETED	0	3h 23m 14s	1.5 GB	2024-04-25 02:45:07.796	2024-04-25 02:45:11.682	2024-04-25 06:08:28.942
305	run_discovery_analysis_trans (247)	COMPLETED	0	1h 55m 2s	1.6 GB	2024-04-25 04:13:20.900	2024-04-25 04:13:29.761	2024-04-25 06:08:39.662
301	run_discovery_analysis_trans (243)	COMPLETED	0	1h 57m 36s	1.5 GB	2024-04-25 04:11:15.432	2024-04-25 04:11:21.833	2024-04-25 06:09:00.553
147	run_discovery_analysis_trans (89)	COMPLETED	0	3h 20m 45s	1.5 GB	2024-04-25 02:48:32.400	2024-04-25 02:48:40.656	2024-04-25 06:09:26.514
138	run_discovery_analysis_trans (80)	COMPLETED	0	3h 27m 9s	1.6 GB	2024-04-25 02:43:25.775	2024-04-25 02:43:32.549	2024-04-25 06:10:43.039
307	run_discovery_analysis_trans (249)	COMPLETED	0	1h 56m 28s	1.5 GB	2024-04-25 04:14:24.393	2024-04-25 04:14:31.233	2024-04-25 06:11:04.406
152	run_discovery_analysis_trans (94)	COMPLETED	0	3h 13m 44s	1.5 GB	2024-04-25 02:51:22.495	2024-04-25 02:58:12.150	2024-04-25 06:11:25.317
179	run_discovery_analysis_trans (121)	COMPLETED	0	3h 3m 26s	1.6 GB	2024-04-25 03:06:47.905	2024-04-25 03:07:59.615	2024-04-25 06:11:35.851
306	run_discovery_analysis_trans (248)	COMPLETED	0	1h 57m 28s	1.6 GB	2024-04-25 04:13:52.696	2024-04-25 04:14:00.351	2024-04-25 06:11:46.346
308	run_discovery_analysis_trans (250)	COMPLETED	0	1h 56m 38s	1.6 GB	2024-04-25 04:14:56.047	2024-04-25 04:15:07.022	2024-04-25 06:11:56.998
160	run_discovery_analysis_trans (102)	COMPLETED	0	3h 14m 1s	1.6 GB	2024-04-25 02:55:53.759	2024-04-25 02:59:42.104	2024-04-25 06:12:07.786
145	run_discovery_analysis_trans (87)	COMPLETED	0	3h 24m 43s	1.6 GB	2024-04-25 02:47:24.500	2024-04-25 02:47:32.339	2024-04-25 06:12:29.053
159	run_discovery_analysis_trans (101)	COMPLETED	0	3h 15m 19s	1.6 GB	2024-04-25 02:55:19.295	2024-04-25 02:59:30.726	2024-04-25 06:12:55.378
163	run_discovery_analysis_trans (105)	COMPLETED	0	3h 15m 20s	1.5 GB	2024-04-25 02:57:35.836	2024-04-25 03:00:16.064	2024-04-25 06:13:05.872
167	run_discovery_analysis_trans (109)	COMPLETED	0	3h 12m 59s	1.5 GB	2024-04-25 03:00:04.722	2024-04-25 03:01:01.628	2024-04-25 06:13:16.423
150	run_discovery_analysis_trans (92)	COMPLETED	0	3h 16m 19s	1.6 GB	2024-04-25 02:50:14.337	2024-04-25 02:57:49.719	2024-04-25 06:13:57.941
